city,city_code,indicator,value,unit,source_url,capture_date
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-14
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-15
上海,shanghai,固定资产投资,-22.0,,https://tjj.sh.gov.cn/,2026-03-15
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-15
上海,shanghai,居民消费价格指数(CPI),202.0,%,https://tjj.sh.gov.cn/,2026-03-15
上海,shanghai,社会消费品零售总额,8.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-15
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-15
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-15
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-16
上海,shanghai,固定资产投资,-22.0,,https://tjj.sh.gov.cn/,2026-03-16
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-16
上海,shanghai,居民消费价格指数(CPI),202.0,%,https://tjj.sh.gov.cn/,2026-03-16
上海,shanghai,社会消费品零售总额,8.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-16
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-16
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-16
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-17
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-17
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-17
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-17
上海,shanghai,固定资产投资,2.0,%,https://tjj.sh.gov.cn/,2026-03-17
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-17
上海,shanghai,居民消费价格指数(CPI),202.0,%,https://tjj.sh.gov.cn/,2026-03-17
上海,shanghai,社会消费品零售总额,8.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-17
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-17
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-17
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-18
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-18
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-18
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-18
上海,shanghai,固定资产投资,2.0,%,https://tjj.sh.gov.cn/,2026-03-18
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-18
上海,shanghai,居民消费价格指数(CPI),-10.0,%,https://tjj.sh.gov.cn/,2026-03-18
上海,shanghai,社会消费品零售总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-18
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-18
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-18
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-19
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-19
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-19
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-19
上海,shanghai,固定资产投资,2.0,%,https://tjj.sh.gov.cn/,2026-03-19
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-19
上海,shanghai,居民消费价格指数(CPI),-10.0,%,https://tjj.sh.gov.cn/,2026-03-19
上海,shanghai,社会消费品零售总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-19
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-19
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-19
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-20
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-20
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-20
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-20
上海,shanghai,固定资产投资,-17.0,%,https://tjj.sh.gov.cn/,2026-03-20
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-20
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-20
上海,shanghai,社会消费品零售总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-20
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-20
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-20
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-21
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-21
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-21
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-21
上海,shanghai,固定资产投资,-17.0,%,https://tjj.sh.gov.cn/,2026-03-21
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-21
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-21
上海,shanghai,社会消费品零售总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-21
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-21
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-21
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-22
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-22
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-22
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-22
上海,shanghai,固定资产投资,-17.0,%,https://tjj.sh.gov.cn/,2026-03-22
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-22
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-22
上海,shanghai,社会消费品零售总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-22
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-22
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-22
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-23
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-23
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-23
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-23
上海,shanghai,固定资产投资,-17.0,%,https://tjj.sh.gov.cn/,2026-03-23
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-23
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-23
上海,shanghai,社会消费品零售总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-23
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-23
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-23
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-24
北京,beijing,居民消费价格指数(CPI),2.0,,https://tjj.beijing.gov.cn/,2026-03-24
北京,beijing,社会消费品零售总额,2.0,亿元,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-24
北京,beijing,规模以上工业增加值,6.7,%,https://tjj.beijing.gov.cn/bwtt_31461/202603/t20260317_4558620.html,2026-03-24
上海,shanghai,固定资产投资,-17.0,%,https://tjj.sh.gov.cn/,2026-03-24
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-24
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-24
上海,shanghai,社会消费品零售总额,2.0,%,https://tjj.sh.gov.cn/,2026-03-24
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-24
上海,shanghai,进出口总额,3.9,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-24
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-25
北京,beijing,地区生产总值(GDP),5.4,亿元,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-25
北京,beijing,居民消费价格指数(CPI),1.7,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-25
北京,beijing,社会消费品零售总额,5.0,亿元,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-25
北京,beijing,规模以上工业增加值,5.0,,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-25
北京,beijing,进出口总额,19.5,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-25
上海,shanghai,固定资产投资,-22.0,,https://tjj.sh.gov.cn/,2026-03-25
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-25
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-25
上海,shanghai,社会消费品零售总额,2.0,%,https://tjj.sh.gov.cn/,2026-03-25
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-25
上海,shanghai,进出口总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-25
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-26
北京,beijing,地区生产总值(GDP),5.4,亿元,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-26
北京,beijing,居民消费价格指数(CPI),1.7,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-26
北京,beijing,社会消费品零售总额,5.0,亿元,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-26
北京,beijing,规模以上工业增加值,5.0,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-26
北京,beijing,进出口总额,19.5,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-26
上海,shanghai,固定资产投资,-22.0,,https://tjj.sh.gov.cn/,2026-03-26
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-26
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-26
上海,shanghai,社会消费品零售总额,2.0,%,https://tjj.sh.gov.cn/,2026-03-26
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-26
上海,shanghai,进出口总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-26
北京,beijing,固定资产投资,2.0,,https://tjj.beijing.gov.cn/,2026-03-27
北京,beijing,地区生产总值(GDP),5.4,亿元,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-27
北京,beijing,居民消费价格指数(CPI),1.7,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-27
北京,beijing,社会消费品零售总额,5.0,亿元,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-27
北京,beijing,规模以上工业增加值,5.0,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-27
北京,beijing,进出口总额,19.5,%,https://tjj.beijing.gov.cn/zxfbu/202603/t20260324_4564401.html,2026-03-27
上海,shanghai,固定资产投资,-22.0,,https://tjj.sh.gov.cn/,2026-03-27
上海,shanghai,地区生产总值(GDP),1.0,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-27
上海,shanghai,居民消费价格指数(CPI),-23.0,,https://tjj.sh.gov.cn/,2026-03-27
上海,shanghai,社会消费品零售总额,2.0,%,https://tjj.sh.gov.cn/,2026-03-27
上海,shanghai,规模以上工业增加值,2.2,亿元,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,2026-03-27
上海,shanghai,进出口总额,-2.0,%,https://tjj.sh.gov.cn/,2026-03-27
